FID,the_geom,UNIQUENUM,IDNUM,NAME,LONGITUDE,LATITUDE,COUNTRY,REGION,REVBIS,DESCRIPTIO,JUSTIFICAT,DATEINSCRI,SECDATE,DANGER,AREAHA,CRITERIA,CATSHORT,CATFIN,TRANSBOUND
worldheritagesites.294,POINT (1.487222222 48.4475),1719,81,Chartres Cathedral,1.487222222,48.4475,France,Europe and North America,Bis,"<p>Partly built starting in 1145, and then reconstructed over a 26-year period after the fire of 1194, Chartres Cathedral marks the high point of French Gothic art. The vast nave, in pure ogival style, the porches adorned with fine sculptures from the mi",,1979,,,1.06,(i)(ii)(iv),C,C,0
worldheritagesites.295,POINT (2.119444444 48.805),1571,83,Palace and Park of Versailles,2.119444444,48.805,France,Europe and North America,Bis,"<p>The Palace of Versailles was the principal residence of the French kings from the time of Louis XIV to Louis XVI. Embellished by several generations of architects, sculptors, decorators and landscape architects, it provided Europe with a model of the",,1979,,,1070,(i)(ii)(vi),C,C,0
worldheritagesites.296,POINT (3.748333333 47.46638889),1572,84,"V?zelay, Church and Hill",3.748333333,47.46638889,France,Europe and North America,Bis,"<p>Shortly after its foundation in the 9th century, the Benedictine abbey of V&eacute;zelay acquired the relics of St Mary Magdalene and since then it has been an important place of pilgrimage. St Bernard preached the Second Crusade there in 1146 and Ric",,1979,,,183,(i)(vi),C,C,0
worldheritagesites.297,POINT (1.17 45.0575),91,85,Prehistoric Sites and Decorated Caves of the V?z?re Valley,1.17,45.0575,France,Europe and North America,,"<p>The V?z?re valley contains 147 prehistoric sites dating from the Palaeolithic and 25 decorated caves. It is particularly interesting from an ethnological and anthropological, as well as an aesthetic point of view because of its cave paintings, especia",,1979,,,0,(i)(iii),C,C,0
worldheritagesites.298,POINT (2.698055556 48.40194444),178,160,Palace and Park of Fontainebleau,2.698055556,48.40194444,France,Europe and North America,,"<p>Used by the kings of France from the 12th century, the medieval royal hunting lodge of Fontainebleau, standing at the heart of a vast forest in the Ile-de-France, was transformed, enlarged and embellished in the 16th century by Fran&ccedil;ois I, who",,1981,,,144,(ii)(vi),C,C,0
worldheritagesites.299,POINT (2.301666667 49.895),1951,162,Amiens Cathedral,2.301666667,49.895,France,Europe and North America,Bis,"<p>Amiens Cathedral, in the heart of Picardy, is one of the largest 'classic' Gothic churches of the 13th century. It is notable for the coherence of its plan, the beauty of its three-tier interior elevation and the particularly fine display of sculpture",,1981,,,1.54,(i)(ii),C,C,0
worldheritagesites.300,POINT (4.808416667 44.13572222),1568,163,"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",4.808416667,44.13572222,France,Europe and North America,Bis,"<p>Situated in the Rhone valley, the ancient theatre of Orange, with its 103-m-long facade, is one of the best preserved of all the great Roman theatres. Built between A.D. 10 and 25, the Roman arch is one of the most beautiful and interesting surviving",,1981,,,9.45,(iii)(vi),C,C,0
worldheritagesites.301,POINT (4.630694444 43.67763889),182,164,"Arles, Roman and Romanesque Monuments",4.630694444,43.67763889,France,Europe and North America,,"<p>Arles is a good example of the adaptation of an ancient city to medieval European civilization. It has some impressive Roman monuments, of which the earliest ? the arena, the Roman theatre and the cryptoporticus (subterranean galleries) ? date back to",,1981,,,65,(ii)(iv),C,C,0
worldheritagesites.302,POINT (4.38911 47.63944),1565,165,Cistercian Abbey of Fontenay,4.38911,47.63944,France,Europe and North America,Bis,"<p>This stark Burgundian monastery was founded by St Bernard in 1119. With its church, cloister, refectory, sleeping quarters, bakery and ironworks, it is an excellent illustration of the ideal of self-sufficiency as practised by the earliest communities",,1981,,,5.77,(iv),C,C,0
worldheritagesites.303,POINT (5.876388889 46.9375),1637,203,"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",5.876388889,46.9375,France,Europe and North America,Bis,"<p>The Royal Saltworks of Arc-et-Senans, near Besan&ccedil;on, was built by Claude Nicolas Ledoux. Its construction, begun in 1775 during the reign of Louis XVI, was the first major achievement of industrial architecture, reflecting the ideal of progress",,1982,2009,,10.48,(i)(ii)(iv),C,C,0
worldheritagesites.304,POINT (4.806111111 43.95277778),254,228,"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge",4.806111111,43.95277778,France,Europe and North America,rev,"<p>In the 14th century, this city in the South of France was the seat of the papacy. The Palais des Papes, an austere-looking fortress lavishly decorated by Simone Martini and Matteo Giovanetti, dominates the city, the surrounding ramparts and the remain",,1995,,,8.2,(i)(ii)(iv),C,C,0
worldheritagesites.305,POINT (6.183333333 48.69361111),255,229,"Place Stanislas, Place de la Carri?re and Place d'Alliance in Nancy",6.183333333,48.69361111,France,Europe and North America,,"<p>Nancy, the temporary residence of a king without a kingdom &ndash; Stanislas Leszczynski, later to become Duke of Lorraine &ndash; is paradoxically the oldest and most typical example of a modern capital where an enlightened monarch proved to be sensi",,1983,,,0,(i)(iv),C,C,0
worldheritagesites.306,POINT (0.86611 46.56472),2118,230,Abbey Church of Saint-Savin sur Gartempe,0.86611,46.56472,France,Europe and North America,,"<p>Known as the 'Romanesque Sistine Chapel', the Abbey-Church of Saint-Savin contains many beautiful 11th- and 12th-century murals which are still in a remarkable state of preservation.</p>",,1983,,,1.61,(i)(iii),C,C,0
worldheritagesites.307,POINT (8.628833333 42.32519444),288,258,"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",8.628833333,42.32519444,France,Europe and North America,,"<p>The nature reserve, which is part of the Regional Natural Park of Corsica, occupies the Scandola peninsula, an impressive, porphyritic rock mass. The vegetation is an outstanding example of scrubland. Seagulls, cormorants and sea eagles can be found t",,1983,,,11800,(vii)(viii)(x),N,N,0
worldheritagesites.308,POINT (4.535277778 43.94722222),1566,344,Pont du Gard (Roman Aqueduct),4.535277778,43.94722222,France,Europe and North America,Bis,"The Pont du Gard was built shortly before the Christian era to allow the aqueduct of N?mes (which is almost 50 km long) to cross the Gard river. The Roman architects and hydraulic engineers who designed this bridge, which stands almost 50 m high and is o",,1985,,,0.3257,(i)(iii)(iv),C,C,0
worldheritagesites.309,POINT (2.358888889 43.21055556),393,345,Historic Fortified City of Carcassonne,2.358888889,43.21055556,France,Europe and North America,rev,"<p>Since the pre-Roman period, a fortified settlement has existed on the hill where Carcassonne now stands. In its present form it is an outstanding example of a medieval fortified town, with its massive defences encircling the castle and the surrounding","<p>The Committee decided to inscribe this property on the basis of <em>criteria (ii) and (iv)</em>, considering that the historic town of Carcassonne is an excellent example of a medieval fortified town whose massive defences were constructed on walls da",1997,,,11,(ii)(iv),C,C,0
worldheritagesites.310,POINT (7.748055556 48.58138889),577,495,Strasbourg ? Grande ?le,7.748055556,48.58138889,France,Europe and North America,,"<p>Surrounded by two arms of the River Ill, the Grande Ile (Big Island) is the historic centre of the Alsatian capital. It has an outstanding complex of monuments within a fairly small area. The cathedral, the four ancient churches and the Palais Rohan ?",,1988,,,94,(i)(ii)(iv),C,C,0
worldheritagesites.311,POINT (2.294166667 48.85833333),710,600,"Paris, Banks of the Seine",2.294166667,48.85833333,France,Europe and North America,,"<p>From the Louvre to the Eiffel Tower, from the Place de la Concorde to the Grand and Petit Palais, the evolution of Paris and its history can be seen from the River Seine. The Cathedral of Notre-Dame and the Sainte Chapelle are architectural masterpiec",,1991,,,365,(i)(ii)(iv),C,C,0
worldheritagesites.312,POINT (4.032777778 49.25333333),711,601,"Cathedral of Notre-Dame, Former Abbey of Saint-R?mi and Palace of Tau, Reims",4.032777778,49.25333333,France,Europe and North America,,"<p>The outstanding handling of new architectural techniques in the 13th century, and the harmonious marriage of sculptural decoration with architecture, has made Notre-Dame in Reims one of the masterpieces of Gothic art. The former abbey still has its be",,1991,,,4.16,(i)(ii)(vi),C,C,0
worldheritagesites.313,POINT (2.398333333 47.08222222),1952,635,Bourges Cathedral,2.398333333,47.08222222,France,Europe and North America,bis,"<p>The Cathedral of St Etienne of Bourges, built between the late 12th and late 13th centuries, is one of the great masterpieces of Gothic art and is admired for its proportions and the unity of its design. The tympanum, sculptures and stained-glass wind",,1992,,,0.85,(i)(iv),C,C,0
worldheritagesites.314,POINT (1.416388889 43.61138889),910,770,Canal du Midi,1.416388889,43.61138889,France,Europe and North America,,"<p>This 360-km network of navigable waterways linking the Mediterranean and the Atlantic through 328 structures (locks, aqueducts, bridges, tunnels, etc.) is one of the most remarkable feats of civil engineering in modern times. Built between 1667 and 16","<p>The Committee decided to inscribe the nominated property on the basis of cultural <em>criteria (i), (ii), (iv) and (vi)</em> considering that the site is of outstanding universal value being one of the greatest engineering achievements of the Modern A",1996,,,1172,(i)(ii)(iv)(vi),C,C,0
worldheritagesites.315,POINT (0.722944444 45.18405556),1019,868,Routes of Santiago de Compostela in France,0.722944444,45.18405556,France,Europe and North America,,"<p>Santiago de Compostela was the supreme goal for countless thousands of pious pilgrims who converged there from all over Europe throughout the Middle Ages. To reach Spain pilgrims had to pass through France, and the group of important historical monume","<p><em>Criterion (ii):</em> The Pilgrimage Route of Santiago de Compostela played a key role in religious and cultural exchange and development during the later Middle Ages, and this is admirably illustrated by the carefully selected monuments on the rou",1998,,,0,(ii)(iv)(vi),C,C,0
worldheritagesites.316,POINT (4.83333 45.76722),1023,872,Historic Site of Lyons,4.83333,45.76722,France,Europe and North America,,"<p>The long history of Lyons, which was founded by the Romans in the 1st century B.C. as the capital of the Three Gauls and has continued to play a major role in Europe's political, cultural and economic development ever since, is vividly illustrated by","<p><em>Criterion (ii):</em> Lyon bears exceptional testimony to the continuity of urban settlement over more than two millennia on a site of great commercial and strategic significance, where cultural traditions from many parts of Europe have come togeth",1998,,,427,(ii)(iv),C,C,0
worldheritagesites.317,POINT (3.298888889 48.55972222),1025,873,"Provins, Town of Medieval Fairs",3.298888889,48.55972222,France,Europe and North America,Rev,<p>The fortified medieval town of Provins is situated in the former territory of the powerful Counts of Champagne. It bears witness to early developments in the organization of international trading fairs and the wool industry. The urban structure of Pro,<p><em>Criterion (ii):</em> At the beginning of the 2nd millennium Provins was one of several towns in the territory of the Counts of Champagne that became the venues for great annual trading fairs linking northern Europe with the Mediterranean world.</p,2001,,,108,(ii)(iv),C,C,0
worldheritagesites.318,POINT (-0.155277778 44.89472222),1088,932,Jurisdiction of Saint-Emilion,-0.155277778,44.89472222,France,Europe and North America,,"<p>Viticulture was introduced to this fertile region of Aquitaine by the Romans, and intensified in the Middle Ages. The Saint-Emilion area benefited from its location on the pilgrimage route to Santiago de Compostela and many churches, monasteries and h","<p><em>Criterion (iii):</em> The Jurisdiction of Saint-Emilion is an outstanding example of an historic vineyard landscape that has survived intact and in activity to the present day.</p>
<p><em>Criterion (iv):</em> The intensive cultivation of grapes fo",1999,,,7847,(iii)(iv),C,C,0
worldheritagesites.319,POINT (0.70278 47.39889),1089,933,The Loire Valley between Sully-sur-Loire and Chalonnes,0.70278,47.39889,France,Europe and North America,,"<p>The Loire Valley is an outstanding cultural landscape of great beauty, containing historic towns and villages, great architectural monuments (the ch?teaux), and cultivated lands formed by many centuries of interaction between their population and the","<p><em>Criterion (i):</em> The Loire Valley is noteworthy for the quality of its architectural heritage, in its historic towns such as Blois, Chinon, Orl?ans, Saumur, and Tours, but in particular in its world-famous castles, such as the Ch?teau de Chambo",2000,,,85394,(i)(ii)(iv),C,C,0
worldheritagesites.320,POINT (164.5663889 -20.41194444),1531,1115,Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,164.5663889,-20.41194444,France,Europe and North America,,<p>This serial site comprises six marine clusters that represent the main diversity of coral reefs and associated ecosystems in the French Pacific Ocean archipelago of New Caledonia and one of the three most extensive reef systems in the world. These Lag,,2008,,,1574300,(vii)(ix)(x),N,N,0
worldheritagesites.321,POINT (3.473055556 44.22027778),1848,1153,"The Causses and the C?vennes, Mediterranean agro-pastoral Cultural Landscape",3.473055556,44.22027778,France,Europe and North America,rev,"<p>This 302,319 ha property, in the southern part of central France, is a mountain landscape interspersed by deep valleys that is representative of the relationship between agro-pastoral systems and their biophysical environment, notably through drailles",,2011,,,302319,(iii)(v),C,C,0
worldheritagesites.322,POINT (0.1075 49.49278),1358,1181,"Le Havre, the City Rebuilt by Auguste Perret",0.1075,49.49278,France,Europe and North America,,"<p>The city of Le Havre, on the English Channel in Normandy, was severely bombed during the Second World War. The destroyed area was rebuilt according to the plan of a team headed by Auguste Perret, from 1945 to 1964. The site forms the administrative, c","<p><em>Criterion (ii): </em>The post-war reconstruction plan of Le Havre is an outstanding example and a landmark of the integration of urban planning traditions and a pioneer implementation of modern developments in architecture, technology, and town pl",2005,,,133,(ii)(iv),C,C,0
worldheritagesites.323,POINT (-0.572222222 44.83888889),1433,1256,"Bordeaux, Port of the Moon",-0.572222222,44.83888889,France,Europe and North America,,"<p>The Port of the Moon, port city of Bordeaux in south-west France, is inscribed as an inhabited historic city, an outstanding urban and architectural ensemble, created in the age of the Enlightenment, whose values continued up to the first half of the",,2007,,,1731,(ii)(iv),C,C,0
worldheritagesites.324,POINT (2.758888889 50.2825),1514,1283,Fortifications of Vauban,2.758888889,50.2825,France,Europe and North America,,"<p>Fortifications of Vauban consists of 12 groups of fortified buildings and sites along the western, northern and eastern borders of France. They represent the finest examples of the work of S&eacute;bastien Le Prestre de Vauban (1633-1707), a military",,2008,,,1153.16,(i)(ii)(iv),C,C,0
worldheritagesites.325,POINT (55.48 -21.09944444),1604,1317,"Pitons, cirques and remparts of Reunion Island",55.48,-21.09944444,France,Europe and North America,,"<p>The Pitons, cirques and remparts of Reunion Island site coincides with the core zone of La R?union National Park. The property covers more than 100,000 ha or 40 % of La R?union, an island comprising two adjoining volcanic massifs located in the south-",,2010,,,105838,(vii)(x),N,N,0
worldheritagesites.326,POINT (2.1425 43.92833333),1663,1337,Episcopal City of Albi,2.1425,43.92833333,France,Europe and North America,,"<p>On the banks of the Tarn river in south-west France, the old city of Albi reflects the culmination of a medieval architectural and urban ensemble. Today the Old Bridge (Pont-Vieux), the Saint-Salvi quarter and its church are testimony to its initial d",,2010,,,19.47,(iv)(v),C,C,0
worldheritagesites.327,POINT (3.546111111 50.4625),1776,1360,Nord-Pas de Calais Mining Basin,3.546111111,50.4625,France,Europe and North America,,"<p>Remarkable as a landscape shaped over three centuries of coal extraction from the 1700s to the 1900s, the site consists of 109 separate components over 120,000&nbsp;ha. It features mining pits (the oldest of which dates from 1850) and lift infrastruct",,2012,,,3943,(ii)(iv)(vi),C,C,0
worldheritagesites.328,POINT (4.864444444 47.05805556),2016,1425,"The Climats, terroirs of Burgundy",4.864444444,47.05805556,France,Europe and North America,,<p><span>The climates are precisely delimited vineyard parcels on the slopes of the C?te de Nuits and the C?te de Beaune south of the city of Dijon. They differ from one another due to specific natural conditions (geology and exposure) as well as vine ty,,2015,,,13219,(iii)(v),C,C,0
worldheritagesites.329,POINT (4.416111111 44.3875),1974,1426,"Decorated Cave of Pont d?Arc, known as Grotte Chauvet-Pont d?Arc, Ard?che",4.416111111,44.3875,France,Europe and North America,,"<p>Located in a limestone plateau of the Ard?che River in southern France, the property contains the earliest-known and best-preserved figurative drawings in the world, dating back as early as the Aurignacian period (30,000?32,000?BP), making it an excep",,2014,,,9,(i)(iii),C,C,0
worldheritagesites.330,POINT (3.946111111 49.0775),2026,1465,"Champagne Hillsides, Houses and Cellars",3.946111111,49.0775,France,Europe and North America,,<p><span>The property encompasses sites where the method of producing sparkling wines was developed on the principle of secondary fermentation in the bottle since the early 17</span><sup>th</sup><span> century to its early industrialization in the 19</sp,,2015,,,1101.72,(iii)(iv)(vi),C,C,0
worldheritagesites.331,POINT (-0.0005 42.68542),915,773,Pyr?n?es - Mont Perdu,-0.0005,42.68542,"France,Spain",Europe and North America,Bis,"<p>This outstanding mountain landscape, which spans the contemporary national borders of France and Spain, is centred around the peak of Mount Perdu, a calcareous massif that rises to 3,352 m. The site, with a total area of 30,639 ha, includes two of Eur","<p>The Committee inscribed the site under natural <em>criteria (vii) and (viii)</em>. The calcareous massif of the Mount Perdu displays classic geological land forms, including deep canyons and spectacular cirque walls. It is also an outstanding scenic l",1997,1999,,30639,(iii)(iv)(v)(vii)(viii),C/N,C/N,1
worldheritagesites.332,POINT (11.5 -0.5),1547,1147,Ecosystem and Relict Cultural Landscape of Lop?-Okanda,11.5,-0.5,Gabon,Africa,Rev,"<p>The Ecosystem and Relict Cultural Landscape of Lop&eacute;-Okanda demonstrates an unusual interface between dense and well-conserved tropical rainforest and relict savannah environments with a great diversity of species, including endangered large mam",,2007,,,491291,(iii)(iv)(ix)(x),C/N,C/N,0
worldheritagesites.333,POINT (-16.35719444 13.31616667),897,761,Kunta Kinteh Island and Related Sites,-16.35719444,13.31616667,Gambia,Africa,Rev,"<p>James Island and Related Sites present a testimony to the main periods and facets of the encounter between Africa and Europe along the River Gambia, a continuum stretching from pre-colonial and pre-slavery times to independence. The site is particular","<p>Criterion iii: James Island and Related Sites on the River Gambia provide an exceptional testimony to the different facets of the African-European encounter, from the 15th to 20th centuries. The River Gambia formed the first trade route into the inter",2003,,,7.5981,(iii)(vi),C,C,0
worldheritagesites.334,POINT (-15.5225 13.69111111),1403,1226,Stone Circles of Senegambia,-15.5225,13.69111111,"Gambia,Senegal",Africa,,"<p>The site consists of four large groups of stone circles that represent an extraordinary concentration of over 1,000 monuments in a band 100 km wide along some 350 km of the River Gambia. The four groups, Sine Ngay&egrave;ne, Wanar, Wassu and Kerbatch,",,2006,,,9.85,(i)(iii),C,C,1
worldheritagesites.335,POINT (44.71639 41.84389),838,708,Historical Monuments of Mtskheta,44.71639,41.84389,Georgia,Europe and North America,,"<p>The historic churches of Mtskheta, former capital of Georgia, are outstanding examples of medieval religious architecture in the Caucasus. They show the high artistic and cultural level attained by this ancient kingdom.</p>",,1994,,2009,3.85,(iii)(iv),C,CD,0
worldheritagesites.336,POINT (42.71639 42.26222),840,710,Bagrati Cathedral and Gelati Monastery,42.71639,42.26222,Georgia,Europe and North America,,"<p>The construction of Bagrati Cathedral, named after Bagrat III, the first king of united Georgia, started at the end of the 10th century and was completed in the early years of the 11th century. Although partly destroyed by the Turks in 1691, its ruins",,1994,,2010,7.87,(iv),C,CD,0
worldheritagesites.337,POINT (43.01139 42.91639),839,709,Upper Svaneti,43.01139,42.91639,Georgia,Europe and North America,,"<p>Preserved by its long isolation, the Upper Svaneti region of the Caucasus is an exceptional example of mountain scenery with medieval-type villages and tower-houses. The village of Chazhashi still has more than 200 of these very unusual houses, which","<p>The Committee decided to inscribe the nominated property on the basis of cultural criteria (iv) and (v), considering that the region of Upper Svaneti is of outstanding universal value being an exceptional landscape that has preserved to a remarkable d",1996,,,1.06,(iv)(v),C,C,0
worldheritagesites.338,POINT (6.957222222 50.94111111),1628,292,Cologne Cathedral,6.957222222,50.94111111,Germany,Europe and North America,Bis,"<p>Begun in 1248, the construction of this Gothic masterpiece took place in several stages and was not completed until 1880. Over seven centuries, successive builders were inspired by the same faith and a spirit of absolute fidelity to the original plans","<p>The Committee decided to inscribe the nominated property on the basis of cultural <em>criteria (i), (ii) and (iv)</em> considering that the monument is of outstanding universal value being an exceptional work of human creative genius, constructed over",1996,,2004-2006,,(i)(ii)(iv),C,C,0
worldheritagesites.339,POINT (6.084444444 50.77444444),1953,3,Aachen Cathedral,6.084444444,50.77444444,Germany,Europe and North America,bis,"<p>Construction of this palatine chapel, with its octagonal basilica and cupola, began c. 790?800 under the Emperor Charlemagne. Originally inspired by the churches of the Eastern part of the Holy Roman Empire, it was splendidly enlarged in the Middle Ag",,1978,,,0.2,(i)(ii)(iv)(vi),C,C,0
worldheritagesites.340,POINT (8.443055556 49.31666667),186,168,Speyer Cathedral,8.443055556,49.31666667,Germany,Europe and North America,,"<p>Speyer Cathedral, a basilica with four towers and two domes, was founded by Conrad II in 1030 and remodelled at the end of the 11th century. It is one of the most important Romanesque monuments from the time of the Holy Roman Empire. The cathedral was",,1981,,,0,(ii),C,C,0
worldheritagesites.341,POINT (9.93889 49.79278),1735,169,W?rzburg Residence with the Court Gardens and Residence Square,9.93889,49.79278,Germany,Europe and North America,Bis,<p>This magnificent Baroque palace &ndash; one of the largest and most beautiful in Germany and surrounded by wonderful gardens &ndash; was created under the patronage of the prince-bishops Lothar Franz and Friedrich Carl von Sch&ouml;nborn. It was built,,1981,,,14.77,(i)(iv),C,C,0
worldheritagesites.342,POINT (9.94389 52.15278),1627,187,St Mary's Cathedral and St Michael's Church at Hildesheim,9.94389,52.15278,Germany,Europe and North America,bis,"<p>St Michael's Church was built between 1010 and 1020 on a symmetrical plan with two apses that was characteristic of Ottonian Romanesque art in Old Saxony. Its interior, in particular the wooden ceiling and painted stucco-work, its famous bronze doors",,1985,,,0.58,(i)(ii)(iii),C,C,0
worldheritagesites.343,POINT (10.90013889 47.68127778),1864,271,Pilgrimage Church of Wies,10.90013889,47.68127778,Germany,Europe and North America,Bis,"<p>Miraculously preserved in the beautiful setting of an Alpine valley, the Church of Wies (1745&ndash;54), the work of architect Dominikus Zimmermann, is a masterpiece of Bavarian Rococo &ndash; exuberant, colourful and joyful.</p>",,1983,,,0.1,(i)(iii),C,C,0
worldheritagesites.344,POINT (10.69167 53.86667),1706,272,Hanseatic City of L?beck,10.69167,53.86667,Germany,Europe and North America,Bis,<p>L&uuml;beck &ndash; the former capital and Queen City of the Hanseatic League &ndash; was founded in the 12th century and prospered until the 16th century as the major trading centre for northern Europe. It has remained a centre for maritime commerce,,1987,,,81.1,(iv),C,C,0
worldheritagesites.345,POINT (6.909777778 50.82502778),322,288,Castles of Augustusburg and Falkenlust at Br?hl,6.909777778,50.82502778,Germany,Europe and North America,,"<p>Set in an idyllic garden landscape, Augustusburg Castle (the sumptuous residence of the prince-archbishops of Cologne) and the Falkenlust hunting lodge (a small rural folly) are among the earliest examples of Rococo architecture in 18th-century German",,1984,,,89,(ii)(iv),C,C,0
worldheritagesites.346,POINT (6.633333333 49.75),420,367,"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",6.633333333,49.75,Germany,Europe and North America,,"<p>Trier, which stands on the Moselle River, was a Roman colony from the 1st century AD and then a great trading centre beginning in the next century. It became one of the capitals of the Tetrarchy at the end of the 3rd century, when it was known as the",,1986,,,0,(i)(iii)(iv)(vi),C,C,0
worldheritagesites.347,POINT (8.56858 49.65369),1865,515,Abbey and Altenm?nster of Lorsch,8.56858,49.65369,Germany,Europe and North America,Bis,"<p>The abbey, together with its monumental entrance, the famous 'Torhall', are rare architectural vestiges of the Carolingian era. The sculptures and paintings from this period are still in remarkably good condition.</p>",,1991,,,3.34,(iii)(iv),C,C,0
worldheritagesites.348,POINT (13.03333333 52.4),624,532,Palaces and Parks of Potsdam and Berlin,13.03333333,52.4,Germany,Europe and North America,Ter,"<p>With 500 ha of parks and 150 buildings constructed between 1730 and 1916, Potsdam's complex of palaces and parks forms an artistic whole, whose eclectic nature reinforces its sense of uniqueness. It extends into the district of Berlin-Zehlendorf, with",,1990,"1992, 1999",,2064,(i)(ii)(iv),C,C,0
worldheritagesites.349,POINT (12.42083 51.8425),627,534,Garden Kingdom of Dessau-W?rlitz,12.42083,51.8425,Germany,Europe and North America,Rev,"<p>The Garden Kingdom of Dessau-W?rlitz is an exceptional example of landscape design and planning of the Age of the Enlightenment, the 18th century. Its diverse components - outstanding buildings, landscaped parks and gardens in the English style, and s","<p><em>Criterion (ii):</em> The Garden Kingdom of Dessau-W?rlitz is an outstanding example of the application of the philosophical principles of the Age of the Enlightenment to the design of a landscape that integrates art, education, and economy in a ha",2000,,,14500,(ii)(iv),C,C,0
worldheritagesites.350,POINT (11.15 51.78333),629,535,"Collegiate Church, Castle and Old Town of Quedlinburg",11.15,51.78333,Germany,Europe and North America,rev,"<p>Quedlinburg, in the <em>Land</em> of Sachsen-Anhalt, was a capital of the East Franconian German Empire at the time of the Saxonian-Ottonian ruling dynasty. It has been a prosperous trading town since the Middle Ages. The number and high quality of th",,1994,,,90,(iv),C,C,0
worldheritagesites.351,POINT (8.81306 49.00083),642,546,Maulbronn Monastery Complex,8.81306,49.00083,Germany,Europe and North America,rev,"<p>Founded in 1147, the Cistercian Maulbronn Monastery is considered the most complete and best-preserved medieval monastic complex north of the Alps. Surrounded by fortified walls, the main buildings were constructed between the 12th and 16th centuries.",,1993,,,0,(ii)(iv),C,C,0
worldheritagesites.352,POINT (10.34 51.82),1576,623,"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management  System",10.34,51.82,Germany,Europe and North America,ter,"<p>The Upper Harz mining water management system, which lies south of the Rammelsberg mines and the town of Goslar, has been developed over a period of some 800 years to assist in the process of extracting ore for the production of non-ferrous metals. It",,1992,2010,,1009.89,(i)(ii)(iii)(iv),C,C,0
worldheritagesites.353,POINT (10.88888889 49.89166667),742,624,Town of Bamberg,10.88888889,49.89166667,Germany,Europe and North America,,"<p>From the 10th century onwards, this town became an important link with the Slav peoples, especially those of Poland and Pomerania. During its period of greatest prosperity, from the 12th century onwards, the architecture of Bamberg strongly influenced",,1993,,,142,(ii)(iv),C,C,0
worldheritagesites.354,POINT (6.85 49.24444),813,687,V?lklingen Ironworks,6.85,49.24444,Germany,Europe and North America,,"<p>The ironworks, which cover some 6 ha, dominate the city of V&ouml;lklingen. Although they have recently gone out of production, they are the only intact example, in the whole of western Europe and North America, of an integrated ironworks that was bui",,1994,,,6,(ii)(iv),C,C,0
worldheritagesites.355,POINT (8.75389 49.91667),1733,720,Messel Pit Fossil Site,8.75389,49.91667,Germany,Europe and North America,Bis,"<p>Messel Pit is the richest site in the world for understanding the living environment of the Eocene, between 57 million and 36 million years ago. In particular, it provides unique information about the early stages of the evolution of mammals and inclu",,1995,,,42,(viii),N,N,0
worldheritagesites.356,POINT (11.32949 50.97477),861,729,Bauhaus and its Sites in Weimar and Dessau,11.32949,50.97477,Germany,Europe and North America,,"<p>Between 1919 and 1933, the Bauhaus School, based first in Weimar and then in Dessau, revolutionized architectural and aesthetic concepts and practices. The buildings put up and decorated by the school's professors (Walter Gropius, Hannes Meyer, Laszlo","<p>The Committee decided to inscribe the nominated property on the basis of cultural <em>criteria (ii), (iv) and (vi)</em> considering that the site is of outstanding universal value since these buildings are the seminal works of the Bauhaus architectura",1996,,,0,(ii)(iv)(vi),C,C,0
worldheritagesites.357,POINT (12.65278 51.86472),926,783,Luther Memorials in Eisleben and Wittenberg,12.65278,51.86472,Germany,Europe and North America,,"<p>These places in Saxony-Anhalt are all associated with the lives of Martin Luther and his fellow-reformer Melanchthon. They include Melanchthon's house in Wittenberg, the houses in Eisleben where Luther was born in 1483 and died in 1546, his room in Wi","<p>The Committee decided to inscribe the nominated property on the basis of <em>criteria (iv) and (vi)</em>, considering that it is of outstanding universal value bearing unique testimony to the Protestant Reformation, which was one of the most significa",1996,,,0,(iv)(vi),C,C,0
worldheritagesites.358,POINT (11.32861 50.9775),997,846,Classical Weimar,11.32861,50.9775,Germany,Europe and North America,,"<p>In the late 18th and early 19th centuries the small Thuringian town of Weimar witnessed a remarkable cultural flowering, attracting many writers and scholars, notably Goethe and Schiller. This development is reflected in the high quality of many of th","<p><em>Criterion (iii):</em> The high artistic quality of the public and private buildings and parks in and around the town testify to the remarkable cultural flowering of the Weimar Classical Period.</p>
<p><em>Criterion (vi):</em> Enlightened ducal pat",1998,,,0,(iii)(vi),C,C,0
worldheritagesites.359,POINT (13.39861111 52.51972222),1047,896,"Museumsinsel (Museum Island), Berlin",13.39861111,52.51972222,Germany,Europe and North America,,"<p>The museum as a social phenomenon owes its origins to the Age of Enlightenment in the 18th century. The five museums on the Museumsinsel in Berlin, built between 1824 and 1930, are the realization of a visionary project and show the evolution of appro","<p><em>Criterion (ii):</em> The Berlin Museumsinsel is a unique ensemble of museum buildings which illustrates the evolution of modern museum design over more than a century.</p>
<p><em>Criterion (iv):</em> The art museum is a social phenomenon that owes",1999,,,8.6,(ii)(iv),C,C,0
